0.0;1.48053;1.48053;0.0;9.0;0.965583;0.965583;0.0;6.0;2.0;0.0
1.0;1.31375;1.31375;0.0;11.0;0.901889;0.901889;0.0;7.0;3.0;1.0
1.0;0.891768;0.891768;0.0;19.0;0.299792;0.299792;0.0;4.0;0.0;1.0
0.0;2.30834;2.30834;0.0;16.0;2.07804;2.07804;0.0;9.0;2.0;2.0
1.0;1.05592;1.05592;0.0;17.0;1.02093;1.02093;0.0;2.0;1.0;1.0
0.0;1.78953;1.78953;0.0;13.0;1.12374;0.362605;0.0;2.0;4.0;2.0
0.0;2.30634;2.30634;0.0;12.0;0.690283;0.690283;0.0;1.0;2.0;0.0
1.0;3.75041;1.34988;0.0;16.0;2.32314;1.56197;0.0;7.0;4.0;1.0
0.0;1.8643;1.8643;0.0;20.0;2.62631;2.62631;0.0;8.0;1.0;2.0
1.0;2.56723;2.56723;0.0;14.0;0.727924;0.727924;0.0;5.0;1.0;0.0
0.0;1.70189;1.70189;0.0;15.0;1.86489;1.86489;0.0;4.0;2.0;2.0
1.0;2.26312;2.26312;0.0;16.0;0.957011;0.957011;0.0;4.0;2.0;1.0
0.0;2.13214;2.13214;0.0;8.0;0.804381;0.804381;0.0;3.0;3.0;0.0
0.0;1.0386;1.0386;0.0;8.0;0.412004;0.412004;0.0;2.0;4.0;1.0
1.0;2.2487;1.48753;0.0;17.0;0.385845;0.385845;0.0;5.0;1.0;0.0
0.0;1.13411;1.13411;0.0;8.0;0.360608;0.360608;0.0;4.0;1.0;0.0
1.0;1.41484;1.41484;0.0;19.0;0.760531;0.760531;0.0;4.0;3.0;0.0
0.0;2.10224;1.34107;0.0;14.0;2.64442;2.64442;0.0;4.0;3.0;1.0
1.0;1.38586;1.38586;0.0;17.0;0.962215;0.962215;0.0;4.0;2.0;2.0
1.0;3.63333;3.63333;0.0;20.0;0.979558;0.218389;0.0;1.0;3.0;2.0
0.0;1.50724;1.50724;0.0;22.0;0.95041;0.95041;0.0;1.0;1.0;1.0
1.0;0.561966;0.561966;0.0;12.0;1.49476;0.733593;0.0;4.0;0.0;2.0
0.0;0.907151;0.907151;0.0;5.0;0.708923;0.708923;0.0;2.0;1.0;1.0
1.0;0.992526;0.992526;0.0;24.0;1.13348;1.13348;0.0;1.0;1.0;1.0
0.0;2.13611;1.37497;0.0;12.0;0.745602;0.745602;0.0;3.0;4.0;1.0
1.0;3.12533;2.36416;0.0;11.0;0.166685;0.166685;0.0;1.0;5.0;0.0
0.0;1.12846;1.12846;0.0;8.0;0.769022;0.769022;0.0;7.0;1.0;2.0
1.0;2.91599;2.91599;0.0;22.0;0.217043;0.217043;0.0;5.0;2.0;0.0
0.0;1.2576;1.2576;0.0;13.0;0.242058;0.242058;0.0;3.0;0.0;1.0
